ESTIMATED THICKNESSES

Thickness of film 1 = 160.00 nm

ESTIMATED INFLEXION POINTS

Inflexion point of the absorption coefficient of film 1 = 850.00 nm

ESTIMATED REFRACTIVE INDICES AND ABSORPTION COEFFICIENTS

Film 1

lambda                     n                          kappa
4.00000000000000000000e+02 2.11491165253037260996e+00 -1.58893033162758809396e-02
4.03092783505154613977e+02 2.11311120979255306906e+00 -1.53190364657758096995e-02
4.06185567010309284797e+02 2.11131076705473352817e+00 -1.47487696152757401941e-02
4.09278350515463898773e+02 2.10951032431691398727e+00 -1.41785027647756706887e-02
4.12371134020618569593e+02 2.10770988157909444638e+00 -1.36082359142756011833e-02
4.15463917525773183570e+02 2.10590943884127490549e+00 -1.30379690637755316779e-02
4.18556701030927854390e+02 2.10410899610345536459e+00 -1.24677022132754621725e-02
4.21649484536082468367e+02 2.10230855336563582370e+00 -1.18974353627753926671e-02
4.24742268041237139187e+02 2.10050811062781628280e+00 -1.13271685122753231617e-02
4.27835051546391753163e+02 2.09870766788999674191e+00 -1.07569016617752536563e-02
4.30927835051546367140e+02 2.09690722515217720101e+00 -1.01866348112751841509e-02
4.34020618556701037960e+02 2.09510678241435766012e+00 -9.61636796077511464553e-03
4.37113402061855651937e+02 2.09330633967653811922e+00 -9.04610111027504514014e-03
4.40206185567010322757e+02 2.09150589693871857833e+00 -8.47583425977497563475e-03
4.43298969072164936733e+02 2.08970545420089903743e+00 -7.90556740927490612936e-03
4.46391752577319607553e+02 2.08790501146307949654e+00 -7.33530055877483662397e-03
4.49484536082474221530e+02 2.08610456872525995564e+00 -6.76503370827476711857e-03
4.52577319587628892350e+02 2.08430412598744041475e+00 -6.19476685777545395262e-03
4.55670103092783506327e+02 2.08250368324962087385e+00 -5.62450000727614078666e-03
4.58762886597938177147e+02 2.08070324051180133296e+00 -5.05423315677682762070e-03
4.61855670103092791123e+02 2.07890279777398179206e+00 -4.48416136955197275338e-03
4.64948453608247405100e+02 2.07710235503616225117e+00 -3.91408958232711788605e-03
4.68041237113402075920e+02 2.07530191229834271027e+00 -3.34401779510226258504e-03
4.71134020618556689897e+02 2.07350146956052316938e+00 -2.90246876156035563815e-03
4.74226804123711360717e+02 2.07170102682270362848e+00 -2.46091972801844869126e-03
4.77319587628865974693e+02 2.06990058408488408759e+00 -2.13272707984928609759e-03
4.80412371134020645513e+02 2.06810014134706454669e+00 -1.80596604439668792681e-03
4.83505154639175259490e+02 2.06629969860924500580e+00 -1.47920500894408953919e-03
4.86597938144329873467e+02 2.06449925587142546490e+00 -1.15244397349149115158e-03
4.89690721649484544287e+02 2.06269881313360592401e+00 -8.25683142389969189009e-04
4.92783505154639158263e+02 2.06089837039578638311e+00 -4.98922311288447226443e-04
4.95876288659793829083e+02 2.05909792765796684222e+00 -1.72161480186925263877e-04
4.98969072164948443060e+02 2.05729748492014730132e+00 4.75659402284938129767e-05
5.02061855670103113880e+02 2.05549704218232776043e+00 2.67293360643912889830e-04
5.05154639175257727857e+02 2.05369659944450821953e+00 4.87020781059331966684e-04
5.08247422680412341833e+02 2.05189615670668867864e+00 7.06748201474751043538e-04
5.11340206185567012653e+02 2.05009571396886913774e+00 9.26475621884687147375e-04
5.14432989690721683473e+02 2.04829527123104959685e+00 1.14620304229462325121e-03
5.17525773195876354293e+02 2.04649482849323005595e+00 1.36593046270455935505e-03
