ESTIMATED THICKNESSES

Thickness of film 1 = 169.00 nm

ESTIMATED INFLEXION POINTS

Inflexion point of the absorption coefficient of film 1 = 900.00 nm

ESTIMATED REFRACTIVE INDICES AND ABSORPTION COEFFICIENTS

Film 1

lambda                     n                          kappa
4.00000000000000000000e+02 2.01588553767097877767e+00 0.00000000000000000000e+00
4.03351955307262585393e+02 2.01532951802731918889e+00 0.00000000000000000000e+00
4.06703910614525113942e+02 2.01477349838365960011e+00 0.00000000000000000000e+00
4.10055865921787699335e+02 2.01421747874000045542e+00 0.00000000000000000000e+00
4.13407821229050284728e+02 2.01366145909634131073e+00 0.00000000000000000000e+00
4.16759776536312870121e+02 2.01310543945268216603e+00 0.00000000000000000000e+00
4.20111731843575398671e+02 2.01254941980902346543e+00 0.00000000000000000000e+00
4.23463687150837984063e+02 2.01199340016536476483e+00 0.00000000000000000000e+00
4.26815642458100569456e+02 2.01143738052170650832e+00 0.00000000000000000000e+00
4.30167597765363154849e+02 2.01088136087804825181e+00 0.00000000000000000000e+00
4.33519553072625683399e+02 2.01032534123438999529e+00 0.00000000000000000000e+00
4.36871508379888268792e+02 2.00976932159073218287e+00 0.00000000000000000000e+00
4.40223463687150854184e+02 2.00921330194707437045e+00 0.00000000000000000000e+00
4.43575418994413439577e+02 2.00865728230341655802e+00 0.00000000000000000000e+00
4.46927374301675968127e+02 2.00810126265975918969e+00 0.00000000000000000000e+00
4.50279329608938553520e+02 2.00754524301610182135e+00 0.00000000000000000000e+00
4.53631284916201138913e+02 2.00698922337244489711e+00 0.00000000000000000000e+00
4.56983240223463667462e+02 2.00643320372878797286e+00 0.00000000000000000000e+00
4.60335195530726252855e+02 2.00587718408513104862e+00 0.00000000000000000000e+00
4.63687150837988838248e+02 2.00532116444147456846e+00 0.00000000000000000000e+00
4.67039106145251366797e+02 2.00476514479781808831e+00 0.00000000000000000000e+00
4.70391061452513952190e+02 2.00420912515416160815e+00 0.00000000000000000000e+00
4.73743016759776537583e+02 2.00365310551050557208e+00 0.00000000000000000000e+00
4.77094972067039122976e+02 2.00309708586684953602e+00 0.00000000000000000000e+00
4.80446927374301708369e+02 2.00254106622319349995e+00 0.00000000000000000000e+00
4.83798882681564236918e+02 2.00198504657953835206e+00 0.00000000000000000000e+00
4.87150837988826822311e+02 2.00142902693588320417e+00 0.00000000000000000000e+00
4.90502793296089407704e+02 2.00087300729222938855e+00 0.00000000000000000000e+00
4.93854748603351936254e+02 2.00031698764857557293e+00 0.00000000000000000000e+00
4.97206703910614521646e+02 1.99976096800492197936e+00 0.00000000000000000000e+00
5.00558659217877107039e+02 1.99920494836127127236e+00 0.00000000000000000000e+00
5.03910614525139635589e+02 1.99864892871762056537e+00 0.00000000000000000000e+00
5.07262569832402220982e+02 1.99809290907396985837e+00 0.00000000000000000000e+00
5.10614525139664806375e+02 1.99753688943032670089e+00 0.00000000000000000000e+00
5.13966480446927334924e+02 1.99698086978668354341e+00 0.00000000000000000000e+00
5.17318435754189977160e+02 1.99642485014305370861e+00 0.00000000000000000000e+00
5.20670391061452505710e+02 1.99586883049942387380e+00 0.00000000000000000000e+00
5.24022346368715034259e+02 1.99531281085579403900e+00 0.00000000000000000000e+00
5.27374301675977676496e+02 1.99475679121219484635e+00 0.00000000000000000000e+00
5.30726256983240205045e+02 1.99420077156859565370e+00 0.00000000000000000000e+00
5.34078212290502733595e+02 1.99364475192499646106e+00 0.00000000000000000000e+00
5.37430167597765375831e+02 1.99308873228146010703e+00 0.00000000000000000000e+00
5.40782122905027904380e+02 1.99253271263792375301e+00 0.00000000000000000000e+00
5.44134078212290432930e+02 1.99197669299438739898e+00 0.00000000000000000000e+00
5.47486033519553075166e+02 1.99142067335096428771e+00 0.00000000000000000000e+00
5.50837988826815603716e+02 1.99086465370754117643e+00 0.00000000000000000000e+00
5.54189944134078245952e+02 1.99030863406427438456e+00 0.00000000000000000000e+00
5.57541899441340774501e+02 1.98975261442100759268e+00 0.00000000000000000000e+00
5.60893854748603416738e+02 1.98919659477774080081e+00 0.00000000000000000000e+00
5.64245810055865945287e+02 1.98864057513470227079e+00 0.00000000000000000000e+00
5.67597765363128473837e+02 1.98808455549166374077e+00 0.00000000000000000000e+00
5.70949720670391116073e+02 1.98752853584862521075e+00 3.33093918848149928014e-05
5.74301675977653644622e+02 1.98697251620588333232e+00 4.67805989931475291188e-04
5.77653631284916173172e+02 1.98641649656314145389e+00 9.02302587978135589575e-04
5.81005586592178815408e+02 1.98586047692073286441e+00 1.33679918602479588796e-03
5.84357541899441343958e+02 1.98530445727832427494e+00 1.77129578407145618635e-03
5.87709497206703872507e+02 1.98474843763591568546e+00 2.20579238211811648473e-03
5.91061452513966514744e+02 1.98419241799387480185e+00 2.64028898016477678312e-03
5.94413407821229043293e+02 1.98363639835183391824e+00 3.07478557821143708151e-03
5.97765363128491571842e+02 1.98308037870979303463e+00 3.50928217625809737990e-03
6.01117318435754214079e+02 1.98252435906812740640e+00 3.94377877430475767828e-03
6.04469273743016742628e+02 1.98196833942646177817e+00 4.37827537235141797667e-03
6.07821229050279271178e+02 1.98141231978479614995e+00 4.81277197039807827506e-03
6.11173184357541913414e+02 1.98085630014349090011e+00 5.24726856844473857344e-03
6.14525139664804441963e+02 1.98030028050218565028e+00 5.68176516649139887183e-03
6.17877094972066970513e+02 1.97974426086122190505e+00 6.11626176453805917022e-03
6.21229050279329612749e+02 1.97918824122025815981e+00 6.55075836241239550795e-03
6.24581005586592141299e+02 1.97863222157929441458e+00 6.98525496028673184568e-03
6.27932960893854783535e+02 1.97807620193863598068e+00 7.41975155816106818341e-03
6.31284916201117312085e+02 1.97752018229797754678e+00 7.85424815603540452114e-03
6.34636871508379954321e+02 1.97696416265731911288e+00 8.28874475390974085887e-03
6.37988826815642482870e+02 1.97640814301692602228e+00 8.72324135178407719660e-03
6.41340782122905011420e+02 1.97585212337653293169e+00 9.15773794965841353433e-03
6.44692737430167653656e+02 1.97529610373637831700e+00 9.59223454753274987206e-03
6.48044692737430182206e+02 1.97474008409622370230e+00 1.00267311454070862098e-02
6.51396648044692710755e+02 1.97418406445606908761e+00 1.04612277432814225475e-02
6.54748603351955352991e+02 1.97362804481611475715e+00 1.08957243411557588852e-02
6.58100558659217881541e+02 1.97307202517616042670e+00 1.13302209390300952230e-02
